05/31/22 2:03:04: form-common.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: customPost-reservation.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: controlpanel-sidebar.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: controlpanel-header.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: component-mypage-modal.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: component-dashboard-table.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 2:03:04: archive-index.scss - parse error: failed at `$gray_edf` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/_configuration.scss on line 37, at column 1
05/31/22 3:15:32: page-controlpanel-meeting-list.scss - parse error: failed at `background-color: ;` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/page-controlpanel-meeting-list.scss on line 376, at column 7
05/31/22 3:15:34: page-controlpanel-meeting-list.scss - parse error: failed at `background-color: ;` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/page-controlpanel-meeting-list.scss on line 376, at column 7
05/31/22 3:17:33: page-controlpanel-meeting-list.scss - parse error: failed at `border-bottom: ;` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/page-controlpanel-meeting-list.scss on line 377, at column 7
06/01/22 7:57:46: page-controlpanel-user-list.scss - parse error: failed at `display: ;` /home/rampup/clane-rampup.com/public_html/default/wp-content/themes/rampup/assets/scss/page-controlpanel-user-list.scss on line 455, at column 3
